Date,Name,Year,Letterboxd URI,Rating
2023-10-17,Get Out,2017,https://boxd.it/eOCm,5
2023-10-18,Pet Sematary,1989,https://boxd.it/1ZBy,3
2023-10-19,Apocalypse Now,1979,https://boxd.it/6ZS,5
2023-10-20,Insidious,2010,https://boxd.it/H4k,2.5
2023-10-21,The Secret World of Arrietty,2010,https://boxd.it/AF4,2.5
2023-10-21,The Host,2006,https://boxd.it/28ZY,3
2023-10-22,The Ring,2002,https://boxd.it/2a70,1.5
2023-10-24,Ring,1998,https://boxd.it/26tw,3
2023-10-24,Black Mirror: Arkangel,2017,https://boxd.it/hQXW,3
2023-10-25,Suicide Club,2001,https://boxd.it/1RkY,4
2023-10-25,Possession,1981,https://boxd.it/1BPm,4.5
2023-10-25,Black Mirror: Crocodile,2017,https://boxd.it/hRoS,3.5
2023-10-25,Black Mirror: Hang the DJ,2017,https://boxd.it/hQYA,4
2023-10-26,Blade,1998,https://boxd.it/1a8A,3.5
2023-10-27,Plan 9 from Outer Space,1957,https://boxd.it/1W50,1
2023-10-27,The Fly,1986,https://boxd.it/1YIe,4
2023-10-28,Black Mirror: USS Callister,2017,https://boxd.it/hQXi,4
2023-10-28,Black Mirror: Metalhead,2017,https://boxd.it/hRqk,2.5
2023-10-28,Black Mirror: Black Museum,2017,https://boxd.it/hRqu,4
2023-10-30,Us,2019,https://boxd.it/gnV6,4.5
2023-11-01,The Thing,1982,https://boxd.it/294O,5
2023-11-01,Eraserhead,1977,https://boxd.it/299u,5
2023-11-01,Madagascar,2005,https://boxd.it/29dc,3.5
2023-11-01,Studio 666,2022,https://boxd.it/xPEw,3
2023-11-03,The Last King of Scotland,2006,https://boxd.it/28FE,4
2023-11-03,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4.5
2023-11-04,The Lost Boys,1987,https://boxd.it/28DI,4
2023-11-06,Moneyball,2011,https://boxd.it/glS,3.5
2023-11-07,Grown Ups,2010,https://boxd.it/169a,1.5
2023-11-07,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,3
2023-11-08,Lady Bird,2017,https://boxd.it/dGNE,4.5
2023-11-08,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,3
2023-11-10,The Hunger Games,2012,https://boxd.it/2uds,4
2023-11-10,The Worst Person in the World,2021,https://boxd.it/oyws,4
2023-11-11,Satantango,1994,https://boxd.it/1j9M,4.5
2023-11-13,The Mighty Ducks,1992,https://boxd.it/1Wka,3.5
2023-11-13,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2023-11-14,Jarhead,2005,https://boxd.it/70m,4
2023-11-14,The Killer,2023,https://boxd.it/u6WE,3.5
2023-11-15,Oldboy,2003,https://boxd.it/29R2,4.5
2023-11-15,Fight Club,1999,https://boxd.it/2a9q,4.5
2023-11-15,Primal Fear,1996,https://boxd.it/28ws,4
2023-11-15,The Wicker Man,1973,https://boxd.it/1KnG,4
2023-11-15,Shutter Island,2010,https://boxd.it/1U82,4
2023-11-18,The Whale,2022,https://boxd.it/tw4c,3.5
2023-11-21,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2023-11-21,Blue Velvet,1986,https://boxd.it/29BI,4.5
2023-11-21,Barbie,2023,https://boxd.it/bCLK,4
2023-11-26,Zodiac,2007,https://boxd.it/27MO,4.5
2023-11-28,Over the Garden Wall,2014,https://boxd.it/eqFw,5
2023-11-29,John Wick,2014,https://boxd.it/7dEc,1
2023-11-29,Glass Onion,2022,https://boxd.it/oCkK,3.5
2023-11-29,TÁR,2022,https://boxd.it/uNIA,4
2023-11-29,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4
2023-11-30,(500) Days of Summer,2009,https://boxd.it/1EmM,4.5
2023-12-01,The Grinch,2018,https://boxd.it/chpK,3.5
2023-12-01,Talk to Me,2022,https://boxd.it/C6uQ,4
2023-12-02,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,4
2023-12-02,Hercules,1997,https://boxd.it/1SDW,3.5
2023-12-02,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,3.5
2023-12-02,Top Gun,1986,https://boxd.it/29JC,3.5
2023-12-03,Miracle on 34th Street,1947,https://boxd.it/1SRu,3.5
2023-12-03,GoodFellas,1990,https://boxd.it/29FA,4.5
2023-12-04,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2023-12-04,Juno,2007,https://boxd.it/210a,3.5
2023-12-04,Bridget Jones's Diary,2001,https://boxd.it/29WQ,3
2023-12-04,Candy Cane Lane,2023,https://boxd.it/CGHw,2.5
2023-12-05,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2023-12-05,Teenage Mutant Ninja Turtles: We Wish You a Turtle Christmas,1994,https://boxd.it/4GNG,0.5
2023-12-06,Love Actually,2003,https://boxd.it/2aeU,4
2023-12-06,Before Sunset,2004,https://boxd.it/2bcg,4.5
2023-12-07,Blade Runner,1982,https://boxd.it/2bcA,4.5
2023-12-07,Four Christmases,2008,https://boxd.it/1SjM,1.5
2023-12-09,Before Sunrise,1995,https://boxd.it/2bcU,4.5
2023-12-09,It's a Wonderful Life,1946,https://boxd.it/28xA,3.5
2023-12-11,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2023-12-12,Bringing Out the Dead,1999,https://boxd.it/1ZZK,5
2023-12-15,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/2b92,4.5
2023-12-18,Crash,1996,https://boxd.it/29n2,4
2023-12-19,Fantastic Planet,1973,https://boxd.it/1KnQ,4.5
2023-12-19,Thunderstruck,2012,https://boxd.it/3YaA,1
2023-12-20,Gremlins,1984,https://boxd.it/29gg,3.5
2023-12-22,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,5
2023-12-23,Last Night in Soho,2021,https://boxd.it/lbJC,4
2023-12-24,Office Christmas Party,2016,https://boxd.it/dpj8,2
2023-12-24,Elf,2003,https://boxd.it/1VyK,3.5
2023-12-25,Violent Night,2022,https://boxd.it/xXBA,4
2023-12-26,Saltburn,2023,https://boxd.it/z4eg,4
2023-12-30,Carol,2015,https://boxd.it/7DPK,3.5
2023-12-30,Se7en,1995,https://boxd.it/29zs,4.5
2023-12-30,Shaun of the Dead,2004,https://boxd.it/29J8,4
2023-12-31,Moonlight,2016,https://boxd.it/d6bE,5
2024-01-02,Martyrs,2008,https://boxd.it/1Yqu,5
2024-01-04,Dirty Dancing,1987,https://boxd.it/2baY,3.5
2024-01-06,Little Shop of Horrors,1986,https://boxd.it/1Vqm,4
2024-01-22,Past Lives,2023,https://boxd.it/oNB8,4
2024-01-22,Boy,2010,https://boxd.it/13RS,4.5
2024-01-22,Funny Games,1997,https://boxd.it/1WKM,5
2024-01-25,Paprika,2006,https://boxd.it/23wW,3.5
2024-01-25,Surf's Up,2007,https://boxd.it/1YKY,5
2024-01-25,Smithereens,1982,https://boxd.it/3hcS,4.5
2024-01-26,Winter Light,1963,https://boxd.it/1nrU,4
2024-01-30,Fargo,1996,https://boxd.it/2aHM,4
2024-01-31,Beau Is Afraid,2023,https://boxd.it/u2gE,4
2024-02-01,Maestro,2023,https://boxd.it/j0DE,3
2024-02-01,Toy Story,1995,https://boxd.it/29qA,3.5
2024-02-04,Two Hands,1999,https://boxd.it/1QcO,4.5
2024-02-04,10 Things I Hate About You,1999,https://boxd.it/23AO,4
2024-02-04,Murder on the Orient Express,2017,https://boxd.it/dHjA,3
2024-02-06,Memento,2000,https://boxd.it/2bcK,4
2024-02-09,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2024-02-11,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2024-02-12,Too Many Cooks,2014,https://boxd.it/9AIK,4
2024-02-13,War Horse,2011,https://boxd.it/nf8,3.5
2024-02-13,Ashes and Diamonds,1958,https://boxd.it/23q0,4
2024-02-14,The Nice Guys,2016,https://boxd.it/94Hg,4
2024-02-15,La La Land,2016,https://boxd.it/a5fa,4
2024-02-15,Ant-Man,2015,https://boxd.it/3vmW,3.5
2024-02-15,Now You See Me 2,2016,https://boxd.it/99fw,3
2024-02-15,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,3
2024-02-16,Elemental,2023,https://boxd.it/ASiE,2
2024-02-17,How to Train Your Dragon,2010,https://boxd.it/1WRy,4
2024-02-17,Gladiator,2000,https://boxd.it/2b9m,3.5
2024-02-17,Now You See Me,2013,https://boxd.it/2Bsu,3.5
2024-02-17,It,1990,https://boxd.it/26tG,3.5
2024-02-17,Asteroid City,2023,https://boxd.it/s3ds,3.5
2024-02-19,The Castle,1997,https://boxd.it/1Pho,4
2024-02-21,Bottoms,2023,https://boxd.it/uGf2,4
2024-02-23,City of God,2002,https://boxd.it/2a2a,5
2024-02-23,Death on the Nile,2022,https://boxd.it/ifpg,2
2024-02-27,Safe,1995,https://boxd.it/1gKU,4
2024-03-02,Leave the World Behind,2023,https://boxd.it/re0i,3.5
2024-03-03,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2024-03-04,Creep,2014,https://boxd.it/7l4c,3
2024-03-04,The Lego Movie,2014,https://boxd.it/4pDO,4.5
2024-03-05,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,4
2024-03-09,The Piano,1993,https://boxd.it/29Kq,1.5
2024-03-10,Poor Things,2023,https://boxd.it/tNWU,4
2024-03-12,American Fiction,2023,https://boxd.it/DYHm,4
2024-03-13,Lost in Translation,2003,https://boxd.it/2b0E,2
2024-03-16,Titanic II,2010,https://boxd.it/QMg,0.5
2024-03-19,964 Pinocchio,1991,https://boxd.it/EhA,3
2024-03-25,Zoolander,2001,https://boxd.it/1YMA,3.5
2024-03-27,"Welcome Home, Roxy Carmichael",1990,https://boxd.it/1i6W,3.5
